EmployeeNumber,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,PerformanceRating,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition,salary_percentile,role_avg_salary,diff_from_role_avg,pay_status,talent_value_flag,salary_quartile,salary_quartile_label,attrition_flag
698,54,Male,"Human Resources","Human Resources",3,10725,3,9,2,4,No,No,100,4236,6489,Overpaid,Normal,4,"Top 25%",0
1098,44,Male,"Human Resources","Human Resources",3,10482,3,20,1,3,No,Yes,98,4236,6246,Overpaid,Normal,4,"Top 25%",1
590,34,Female,"Human Resources","Human Resources",3,9950,3,3,1,3,Yes,Yes,96.1,4236,5714,Overpaid,Normal,4,"Top 25%",1
1744,45,Female,"Human Resources","Human Resources",3,9756,4,5,3,4,No,No,94.1,4236,5520,Overpaid,Normal,4,"Top 25%",0
2040,35,Female,"Human Resources","Human Resources",3,8837,3,9,4,3,Yes,No,92.2,4236,4601,Overpaid,Normal,4,"Top 25%",0
1419,29,Male,"Human Resources","Human Resources",3,7988,3,10,1,2,No,No,90.2,4236,3752,Overpaid,Normal,4,"Top 25%",0
1722,41,Male,"Human Resources","Human Resources",2,6430,3,3,2,3,No,No,88.2,4236,2194,Overpaid,Normal,4,"Top 25%",0
424,31,Male,"Human Resources","Human Resources",2,6410,3,2,1,3,No,No,86.3,4236,2174,Overpaid,Normal,4,"Top 25%",0
760,39,Female,"Human Resources","Human Resources",2,6389,3,8,2,1,No,No,84.3,4236,2153,Overpaid,Normal,4,"Top 25%",0
184,30,Male,"Human Resources","Human Resources",2,6347,3,11,4,1,Yes,No,82.4,4236,2111,Overpaid,Normal,4,"Top 25%",0
1231,42,Male,"Human Resources","Human Resources",2,6272,3,4,1,4,No,No,80.4,4236,2036,Overpaid,Normal,4,"Top 25%",0
1563,38,Male,"Human Resources","Human Resources",2,6077,3,6,3,3,No,No,78.4,4236,1841,Overpaid,Normal,4,"Top 25%",0
665,44,Female,"Human Resources","Human Resources",2,5985,3,2,3,4,No,No,76.5,4236,1749,Overpaid,Normal,4,"Top 25%",0
1642,44,Male,"Human Resources","Human Resources",2,5743,3,10,4,3,Yes,No,74.5,4236,1507,Overpaid,Normal,3,"Upper Mid 25%",0
909,39,Female,"Human Resources","Human Resources",2,5204,3,5,4,3,No,No,72.5,4236,968,Overpaid,Normal,3,"Upper Mid 25%",0
